N,Solver,Gamma,Variables_Totales,Variables_Binarias,Tiempo_Fase_1_MILP_Seg,Status_Fase_1,Tiempo_Fase_2_LP_Seg,Status_Fase_2,Verificacion_Politica
5,GUROBI,0.8139,655,630,0.07,OPTIMAL,0.01,OPTIMAL,EXITOSO
15,GUROBI,0.9397,6615,6390,1.38,OPTIMAL,0.1,OPTIMAL,EXITOSO
30,GUROBI,0.8645,27180,26280,3.88,OPTIMAL,0.4,OPTIMAL,EXITOSO
50,GUROBI,0.866,76300,73800,16.09,OPTIMAL,1.1,OPTIMAL,EXITOSO
100,GUROBI,0.9371,307600,297600,103.64,OPTIMAL,4.82,OPTIMAL,EXITOSO
150,GUROBI,0.8175,693900,671400,569.76,OPTIMAL,11.54,OPTIMAL,EXITOSO
200,GUROBI,0.918,1235200,1195200,5986.97,OPTIMAL,9.65,OPTIMAL,EXITOSO
5,GUROBI,0.9248,655,630,0.05,OPTIMAL,0.0,OPTIMAL,EXITOSO
15,GUROBI,0.8421,6615,6390,0.31,OPTIMAL,0.04,OPTIMAL,EXITOSO
30,GUROBI,0.851,27180,26280,2.0,OPTIMAL,0.18,OPTIMAL,EXITOSO
50,GUROBI,0.8874,76300,73800,8.18,OPTIMAL,0.49,OPTIMAL,EXITOSO
100,GUROBI,0.95,307600,297600,48.94,OPTIMAL,2.34,OPTIMAL,EXITOSO
5,GUROBI,0.8227,655,630,0.03,OPTIMAL,0.0,OPTIMAL,EXITOSO
15,GUROBI,0.8016,6615,6390,0.27,OPTIMAL,0.04,OPTIMAL,EXITOSO
30,GUROBI,0.9216,27180,26280,3.79,OPTIMAL,0.21,OPTIMAL,EXITOSO
50,GUROBI,0.8766,76300,73800,7.84,OPTIMAL,0.51,OPTIMAL,EXITOSO
100,GUROBI,0.8447,307600,297600,35.72,OPTIMAL,2.19,OPTIMAL,EXITOSO
